H_tub_ID	HT16cellA	HT16cellB	HT16cellC	HT32cellA	HT32cellB	HT32cellC	HT4cellA	HT4cellB	HT4cellC	HTEGGA	HTEGGB	HTEGGC	HTGA	HTGB	HTGC	HTMBA	HTMBB	HTMBC	HTPRA	HTPRB	HTPRC
HTU_26021.t1_HTU_26023.t1	3090.50	4482	4386.00	3651.00	4337.50	5451.00	1525	2722	3837.00	581	482	800	2456	2148	5768	4498	3470	2036	7376.00	8481	8068.25
HTU_25803.t1	1495.00	2321	1598	1531	2057	1966	909.50	1949.00	3497	1267	559	1154.83	224	152	177	690	1075	224	493	527	625
HTU_25361.t1	422	530	400.00	450	437	448	125	281	426	38	63	69	67	139.00	162.00	270	330	116	80	96	102
HTU_26162.t1	7.50	8.50	2.50	6.50	6.25	6	1.50	1	2.50	2	2	4	0.50	0	3	1.50	3.50	1	11.50	11.50	13
HTU_26162.t1.1.5f2ccbed	9.50	12.50	4.50	8.50	7.25	6	1.50	3	3.50	3	1	6	0.50	0	3	0.50	6.50	1	10.50	10.50	10
HTU_25158.t1	1	0	0	1	0	0	0	0	1.50	0	0	6	3	0.50	4.50	3	3	2	0	0	4
HTU_25036.t1	27.83	37.67	25.83	31.67	22.17	44.00	12	23.33	26.50	4.50	3	6.17	35.33	57.17	49.67	94.17	106.50	40.08	40.83	38.33	33.50
HTU_24496.t1	0	0	0	2	0	1	0	0	0	0	0	0	0	6	0	7	2	4	3	0	0
HTU_26121.t1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	1
HTU_24640.t1	5168	5863	3596.10	5704.00	4991	4567	1687	3037	3930	827	979	1280	1149	1482	1617	2245	2831.25	1998	1265	1375	1463
HTU_24618.t1	38	19	0	35	18	0	25	56	51	43	27	32	1	8	3	3	8	0	1	3	1
HTU_24626.t1	1371	1523	945	1405	1023	1113	197	990	857	302	421	335	146	256	221	290.50	409	210	221.25	221	210
HTU_25311.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HTU_24484.t1	133.50	119.25	107	140	103	162.50	30	80	95	13.50	15.50	17.50	19	23.50	50	36	53.12	28.50	30	23.50	28.50
HTU_24484.t1.1.5f2ccbb2	133.50	120.25	108	140	103	162.50	30	82	95	13.50	17.50	17.50	19	23.50	50	37	53.12	28.50	30	23.50	28.50
HTU_24396.t1	603.67	833.67	378.25	608.17	584.33	431.83	530.26	432.33	308.08	452.17	522.67	436.33	854.60	1160.50	857.67	1241.50	1439.63	773.01	928.08	1033.90	873.57
HTU_25639.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0
HTU_24894.t1	451	383	314	388	277	311	132	340	413	118	212.00	208	1388.00	1886.50	1559.00	1776	2038	1376	1096.00	1106	1065
HTU_25440.t1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
HTU_25241.t1	99	126	165	147	126.50	224	133	78	131	37	54	54	8301.50	6383.50	6713.00	9966	7769	5048	7715.50	8867.00	9340.50
HTU_25247.t1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	3	4	0	1	1
HTU_26198.t1	3111	3265	2908	3403	2623	3453	1373	1907	2414.00	476	563	912	2515	4135	3052	4387	6398	3238	2733	2774	2625
HTU_24542.t1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	1	1	6	22	9
HTU_25641.t1	191	216	320	190	201.00	401	75	189	247	29	26	9	270	467	386	332	409	317	390	498	387
HTU_24728.t1	2499.75	3212.06	923.42	2573.87	2733.25	1074.25	1274.08	731.79	2271.50	375.83	167.33	301.31	918.00	863.68	853	835.00	1277.42	552.58	512.17	529.83	571.17
HTU_25612.t1	108.50	101	54	118	91.50	53	52.50	29.50	110.50	72	21	78.50	122	106.50	100.50	108	122	103.50	123.50	133.50	108
HTU_25612.t1.1.5f2ccbc0	106.50	107	56	120	96.50	57	53.50	33.50	109.50	75	21	80.50	135	113.50	104.50	113	132	109.50	131.50	141.50	113
