H_tub_ID	HT16cellA	HT16cellB	HT16cellC	HT32cellA	HT32cellB	HT32cellC	HT4cellA	HT4cellB	HT4cellC	HTEGGA	HTEGGB	HTEGGC	HTGA	HTGB	HTGC	HTMBA	HTMBB	HTMBC	HTPRA	HTPRB	HTPRC
HTU_6108.t1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	3	1
HTU_6079.t1	1265	1312.50	775.17	1235.83	1073.50	915.67	469	910.50	791	69	132	111	20.50	19	14	51	52	28.50	20	20.50	15.50
HTU_6292.t1	0	0	0	0.50	0	0	0	0	0	0	0	0	1.50	0	4	0	0	0	3	0	1
HTU_6263.t1	359.67	349.75	406.17	368.33	317.33	482.50	102	330.67	346.67	124.50	201.17	90.67	132.50	197	162.67	130.50	129.50	119.83	192.17	299.17	179.50
HTU_6319.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HTU_7104.t1	0	0	0.10	0	0	0	0.11	0.11	0	0	0	0	0	0.11	0.60	0.12	0.10	0	0.10	0	0
HTU_6116.t1	0	0	0	0	0	0	0	0	0	0	0	0	0.32	0.44	1.72	0.67	1.80	0.66	3.96	4.88	2.24
HTU_6889.t1	0	3.67	1.83	0.31	4.58	1.75	4.09	1.42	0	7.88	0.75	0.25	3.57	3.75	8.37	42.82	10.23	6.71	2.58	0.96	1.25
HTU_6889.t1.1.5f2cc979	0	3.67	1.58	0.17	4.00	1.83	3.08	1.17	0	6.08	0.75	0	1.17	3.00	4.50	39.16	9.75	6.33	2.33	0.96	1.25
HTU_6059.t1	3.50	2	5.50	3.50	1.50	6	0.50	2.50	1.50	4.50	6.67	3.17	8.33	6.90	2.20	4.00	4.60	5.97	57.87	26.70	42.53
HTU_5711.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HTU_6014.t1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HTU_7421.t1	4.16	2.60	1.43	2.66	2.65	0.76	2.04	2.11	1.88	0.54	1.09	0.64	0.50	0	0	0.14	1.65	0.40	0.79	1.49	0.79
HTU_7424.t1	0	0	0	0	0	0	0	0	0	0	0.12	0	0.29	0.60	0.69	0.12	0.46	0.12	0.73	0.50	0.25
HTU_6410.t1.1.5f2cc984	464.17	354.75	493.45	485.33	336.58	673.75	148.42	314.08	371.67	202.17	192.92	208.33	150.00	167.00	121.92	305.42	354.08	197.03	200.08	198.87	195.83
HTU_6410.t1	426.67	353.52	471.35	480.83	310.08	611.25	122.03	304.68	334.27	176.67	214.92	214.67	97.50	117.17	91.62	245.42	271.83	146.83	129.08	123.17	129.46
HTU_5753.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HTU_7519.t1	0.77	2.33	2.04	4.65	3.82	3.56	1.19	2.36	1.83	0.25	0.46	0	86.80	86.64	52.15	46.31	72.16	84.07	64.03	46.84	80.15
HTU_7374.t2	509.50	668	471.50	516	467.50	541	58.50	325.50	445.50	278	136	284.50	141.50	180.50	166	194	214.50	143	231.75	199.83	219.50
HTU_7374.t1	537.50	682	478.50	538	490.50	549	62	335	459.50	287	145	296.50	133.50	178.50	160	189	209.50	140	234	195.50	219.50
HTU_6754.t1	21	22	13.50	22	34	23	9.50	29	53	4	9	7.50	6.50	11	11	7	12.50	3	5	4	8
HTU_6153.t1	0	0	0	0	0	0	0	0	0.33	0	0	0	0	0.50	0	0	0	0	0	0	0
HTU_7117.t1	0	0	1	1	0	1	0	2	0	2	1	0	1	0	3	0	1	0	7	8	0
HTU_7547.t1	0	0	0	0	0	0	0	0	0	0	0	0	0.50	0	0	1.50	1	0	1.50	1.50	3.50
HTU_6401.t1	0	0.50	0.50	1	0	0	0	0	0	0	0	0	1.50	1.50	0.50	1.50	3.50	0	3.50	3	0.50
HTU_5580.t1	0.70	0.83	0.20	1.34	0.20	0.65	0.38	0	1.50	0	0	0	0	0	0.50	0.50	0	0	0	0	0
HTU_6828.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HTU_5926.t1	1222.50	1146	769.50	1257.00	714.50	955.00	123	583	636.50	172.50	203.50	241	261	270.50	385.50	569.50	453	380	482.50	560	425.50
HTU_5926.t2	217.50	188	136.50	225	141.50	182.00	48	117	130.50	38.50	50.50	63	57	62.50	78.50	102.50	82	78	85.50	123	79.50
HTU_6694.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	1	0	3	2
HTU_5705.t1	31	188.00	4	24.17	161.17	6.83	3.67	4.67	11	1.67	1.83	5.50	26.83	57.33	216.00	63.83	40.17	189.83	79.17	101.17	6.67
HTU_6890.t1	0	1.00	0	0	0	0	0.67	0	0	0.33	0	0	2.33	6.00	6.67	39.17	10.00	4.50	24.17	1.00	23.83
HTU_5462.t1	6568.00	6645.67	17266.83	11011.43	10013.17	22362.75	11335.57	16055.00	7874.67	23625.23	47935.53	20733.07	14932.67	19613.17	17390.33	14452.17	11160.17	9635.17	24901.50	31942.33	25931.50
HTU_6104.t1	0.81	0.92	0.50	0.31	1.22	0.17	0.70	0	2.62	0.20	0	0.84	0.76	1.10	0.75	1.03	1.74	0.20	1.74	2.50	1.52
HTU_5666.t1	0	0.50	0	0	0.50	0	1.50	0	0	0	0	0	0	1	0	0	0	0	0	0.50	0.50
HTU_6590.t1	4	11	11	3	9	8	14	17	8	5	14	7	11	6	26	25	20	15	28	25	41
HTU_6603.t1	16	21	29	14	23	38	5	11	14	3	5	6	1	3	0	8	9	3	2	9.20	7
HTU_6696.t1	2	0	0	1	0	0	0	0	2	0	0	0	27	19	9	17	6.50	5	31	49.50	31
HTU_7204.t1_HTU_7205.t1	22	10	16	37	16	16	7	7	26	38	16	53	216	29	190	42	17	20	1861	1736	1753.50
HTU_6949.t1	1196.51	1283.27	613.23	1145.75	979.02	634.31	351.33	655.92	669.65	395.08	333.00	461.00	144.37	163.40	194.25	223.53	314.43	161.85	311.20	298.77	352.87
HTU_6831.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HTU_6003.t1	6	3	1	7.17	4	1	1	0	0	0	0	0	57	51	28	70.25	58	86	128.25	85	120
HTU_6983.t1.1.5f2cc97a	479.02	600.28	481.31	548.03	648.93	631.37	238.37	394.20	381.68	110	89.14	81.08	318.70	429.34	608.83	785.51	919.71	526.41	407.38	370.09	392.59
HTU_6983.t1	337.50	374	313	342.07	386.50	403.50	121	255.50	200.50	61	48	41.50	178.50	273.75	338	443	546	309.50	237	214.60	230
HTU_6026.t1	6.75	4.90	1.69	6.31	4.42	2.34	1.54	4.36	4.83	0.62	0.81	0.64	0.87	2.07	3.48	4.28	10.30	1.81	49.40	68.60	40.33
HTU_6782.t1	882	833.83	417.83	845	484.50	543	118.50	415	381.40	261	283	177	160.50	206	255.50	605.00	717	378	125.50	129	107
HTU_5605.t1	0	0.14	0	0	0	0	0	0	0	0	0	0	0	0	0.17	0	0	0	0.36	0	0
HTU_5673.t1	0	0	1	0.50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HTU_5656.t1	5	2	8	3.50	3	4.50	4	2.50	1.50	1	0.50	0.50	1.50	7	6.50	5	10	2	3	3.50	3.50
HTU_6938.t1	0	0	0	0.25	0.50	0	2.50	0	0.25	0	0	0	8.91	0	0.98	1.29	3.82	0.25	3.77	0.75	2.75
HTU_5794.t1	0	0.33	0	0	0	1	0	0	0	0	0	0	0	0	0.50	0.50	1.33	0	2	0	1.50
HTU_6301.t1	1798.50	1931.00	1545.50	1827.50	1799.17	1804.17	1042.50	1842.33	1812.33	455.75	379	479.67	109.50	181	150.50	176	198	109	159.50	189	150
HTU_7146.t1	16	121.47	11.20	16.37	85.37	9	3	23.47	2.37	4	7.17	4.11	5.77	28.82	5.99	19.42	37.93	3.40	4.20	5.25	4.20
HTU_6600.t1	1	2	1	3	2	0	1	0	2	1	0	0	1	8	6	6	1	0	87	71	87
HTU_6944.t1_HTU_6942.t1	3263.66	3492.30	1686.50	3021.61	2234.29	1727.38	596.17	1273.92	1627.68	671.92	541.50	864.17	312.37	336.90	389.75	586.80	730.92	325.15	633.49	541.93	634.12
HTU_5776.t1	9.83	8.00	17.50	15.33	3.50	24.83	3.50	15.17	5.00	2.83	1	2	10.50	13.17	9.83	10.83	6.00	8.67	12.67	14.50	15.50
HTU_7540.t1	496.30	643	657.25	445.50	503.50	709.50	127.50	693.83	588.17	705.25	664.67	546.82	92	115	107	121.60	192.07	105.50	145	116.50	153
HTU_7318.t1	525.50	616	465.54	537.33	518	577.00	377.47	486.83	471.67	209.14	177.20	146.60	8	13.50	1.50	16.50	44	13	0.50	1	2
HTU_7008.t1	0	0	0	0	0	0	0	0	0	0	0	0	0.83	0	1.50	1	0.33	1.25	0.75	0.50	0.33
HTU_6968.t1	532.83	600.59	403.48	409.27	468.86	442.79	274.70	320.39	380.25	180.48	132.21	207.67	841.04	823.96	933.29	837.17	816.93	401.40	1507.89	1739.86	1278.11
HTU_6968.t2	268	279.50	165.50	212.50	209	199.50	104.50	162.50	185	84	56	87.50	382.50	403.50	425.50	381	386	168	683	779	570
HTU_5654.t1	14.00	8.33	7.50	15.83	10.17	20.17	7.17	10.33	6.50	1	0.50	5.20	0	1.33	1.50	5.83	12.20	0.83	0	0.50	0.50
HTU_7227.t1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
HTU_5791.t1	0	0	0	0	0	0	0	0	0	0	0	0	4	4.50	2.50	1.50	4.50	5.50	1	1.50	2.50
HTU_6042.t1	3.50	2	5.50	3	1.50	6	0.50	2.50	1.50	4.50	6.33	2.33	5.67	3.50	2	3	3	4.83	47.73	22.70	37.07
HTU_5941.t1	0	0.50	0	0.50	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HTU_5514.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HTU_6702.t1_HTU_6703.t1	2942.33	3233.33	1795.67	2851.17	2610.17	2273.50	809.17	1591.83	2351.17	642.83	686.67	913.00	802.67	607.50	691.17	672.83	920.67	572.33	2272.50	2152.17	2112.17
HTU_7367.t1	3	2	0	3	2.50	0	0	0	0	0	0	0.50	0.50	2	1	3.75	7.95	0	4.25	2.50	4.87
HTU_7427.t1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HTU_5608.t1	0	0	0	0.50	0.50	0.33	0	0	0.50	0	0	0	0.50	0.83	6.50	0.33	0	2.17	1.67	0.33	1.17
HTU_6193.t1	0.29	0	0.14	1.12	0.34	0.10	0.10	0	0	1	0.10	0.10	3.30	9.78	12.95	27.75	37.75	27.39	0.83	1.95	1.60
HTU_5780.t1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
HTU_6149.t1	0.50	0.50	1.50	1.50	0.50	0	0.50	1	1	0	0.50	0	0	0	0	0	1	0	0	0	0
HTU_5919.t1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
HTU_6025.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
HTU_6032.t1	0	0	0	0	0	0	0	0	0	0	0	0	0.50	0	0	0.50	0	0	2	1.50	2.50
HTU_6324.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.50	0	0.50	0.50	0	0
HTU_5893.t1	2	0	1	0	2	4	0	0	0	0	0	0	51	49	27	35	28	45	91	102	43
HTU_7248.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.50
HTU_6936.t1	0	0	0	0	0	0	0	0	0	0	0	0	2	1.50	0	0	1	2	1	0.50	0
HTU_6962.t1	421	430	696	432	473	841	644	752	270	341	261	77	100	149	62	114	76	60	188	168	175
HTU_6375.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	1
HTU_6179.t1	0	0	0	1	0	0	0	0	0	0	0	0	0.50	0	0	0.20	1.70	0.25	0.50	0	1.50
HTU_6706.t1	2	9	7	3	8	5	0	4	9	1	4	15	5.00	1	3	11	11	3	1	5	2
HTU_5745.t1	0	0	0	0	0.25	0	0	0	0.25	0	0	0	0.25	0	0	0	0.33	0	0	0.25	0
HTU_5911.t1	1	0	0	0.11	0	0	0	0	0	0	0	0	1.54	0.55	0.44	2.46	3.85	1.22	0.42	0.21	0.33
HTU_6575.t1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.50	0	0	0
HTU_7170.t1	0.50	0	0	1	1	0.17	0	0.70	0	0.50	1	0	1	0.20	0	1.75	1.75	0.50	1.57	0.20	2.75
HTU_5827.t1	0	0	0	0	0	0	0	0	0	0	0	0	2.65	0	0	0.50	0	0	1.34	5.23	3.72
HTU_5851.t1	35	59	44.50	37	56.50	69	23	38	61	5.50	7.50	17	9	7.50	17.50	26.50	27	9.50	9	7	9
HTU_6352.t1	1	16	1.50	0.50	19.50	1.50	1	0.50	21	1	3	36.50	106.00	16.50	40.50	9	19.50	6	295.83	292.33	293.33
HTU_6203.t1	1143.33	1130.50	732.83	1345.00	851.00	885.50	476.00	489.50	636.50	104	104.00	115	61.00	55	92	323.50	362	107.50	58	64.00	53
HTU_5446.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HTU_6854.t1	0	0.50	0	0	0	0	0	0	1.17	0	0	0	0	1.50	9.83	15.50	6.17	1.33	1	2.33	1
HTU_6287.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.42	0.20	0.50	0.11
HTU_5953.t1	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0
HTU_6452.t1	0.25	0	0	0	0	0.14	0.49	0	0.17	0.10	0.22	0.12	0.17	0.20	0.85	0	0.11	0	0	0	0
HTU_5810.t1	58	91.50	74	61	84	103.50	33.50	52.50	103	13	12	24.50	13	12	29.50	40	42.50	16	19.50	11.50	14
HTU_6049.t1	402.42	462.75	491.67	388.50	340.67	475.42	147.17	331.50	477.50	34.17	32.50	39	302.10	362.83	371.75	324.00	464.58	304.25	451	522	411.33
HTU_5966.t1	1.76	0.20	0.84	2.90	1.52	2.50	0.61	0.38	0.32	0.57	0.21	0.20	13.93	51.69	23.53	48.21	31.81	38.62	9.39	6.87	6.24
HTU_6697.t1	2	2	3	5	4	2	1	2	2	3	1	0	45	26	30	43	17.50	16	34	57.50	40
HTU_6219.t1	6	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
HTU_6625.t2	2740.50	3040.50	2565.00	2680	2653	3004.50	1053.50	2758	3617	5375.50	5170.50	6115.50	902.50	881	1183.50	1369.67	1661.50	1153.50	1119.50	1215.50	1181.50
HTU_6625.t1	1473.50	1668.50	1381.00	1417	1400	1589.50	551.50	1501.50	1960	2757.50	2649.50	3192.50	504.50	499	634.50	677.50	881.50	606.50	608.50	614.50	613.50
HTU_7143.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HTU_7220.t1	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0
HTU_6542.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
HTU_6896.t1	650.55	686.52	378.18	613.61	427.90	440.85	134.68	299.97	351.39	64.75	74.07	82.08	16.75	43.92	39.92	127.50	160.44	42.17	22.75	18.25	22.25
HTU_7525.t1	7.65	1.60	1.18	7.90	3.85	1.97	3.95	3.07	6.16	3.65	1.45	13.25	49.17	99.13	143.75	74.00	61.80	36.75	41.14	49.43	79.84
HTU_5447.t1	0	0.50	0	0	0	0	0	0.50	0	0	0	0	2	0.50	2	1.50	1	2.50	1	0	0.50
HTU_7308.t1	0	0	0	0	0	0	0	0	0	0	0	0	1.67	1.00	0	4.33	1.67	0.67	1.83	0.50	3.17
HTU_5830.t1	2.50	0	0	9	0	0	0	0	0	0	0	0	0	0.50	0.50	1.50	1.50	0.50	9	17	1
HTU_5632.t1	1	1	0.33	1	0.67	1	1	0	1	1.50	0	1	2.67	11.67	5.67	5.00	9.00	2.67	5.00	8.17	3.00
HTU_7022.t1	0	0	0.50	0.50	0	0.50	0	0.50	0	0	0	0	0	0	0	0.50	0	0	1.50	7	3.50
HTU_6112.t1	2.27	0.24	0.31	1.74	0.59	1.03	0.12	0.11	0.12	0.25	0	0.43	16.43	18.74	24.85	35.42	16.12	20.87	5.38	7.70	7.69
HTU_6239.t1	0	0	0.17	0	0.20	0	0	0	0	0	0	0	0	0	0	0.17	0	0	0	0	0
HTU_6709.t1	0.50	1	0	0	0	0	0	0.50	0	0.50	1	0	0.50	1	1	0	0.50	2	1.50	0.50	1.50
HTU_7465.t1	0.11	0	0	0	0	0	0	0	0	0	0	0	0.10	0	0	0	0	0.10	0	0	0
HTU_5770.t1	0.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.50	0
HTU_6790.t1	5	7.50	2.50	4.62	6	0.12	5.50	4	1	1	1.50	0	6.50	0	1	4	3	0.50	37.12	52.33	35
HTU_7504.t1	0.11	0	0	0	0	0	0.14	0	0.20	0	0	0	0	0	0	0	0.33	0	0	0	0
HTU_7345.t1	1	1	0	0	1.50	1	0	0	6.50	1	0	3	27.50	55.50	89	223.50	402	105	34	35	43.50
HTU_7345.t1.1.5f2cc97d	0	0	0	0	0.50	0	0	0	0.50	0	0	1	0.50	0.50	7	63.50	103	13	3	3	1.50
HTU_7140.t1	0	0.50	0	0	0	0	0	1.65	0	0.10	0.40	0	0.75	0.95	5.43	2.20	0.25	0.75	1.70	2.20	3.25
HTU_5653.t1	44.25	132.88	57.25	42.50	91	70	14	27	71.25	6.50	2.50	10.50	10.25	19.50	20.50	24.50	57.75	15	16.50	22.75	15.50
HTU_5674.t1	3	0	3	4	1	9	4	4	4	9	9	4	2	1	4	3	1	1	1	7	2
HTU_5873.t1	0	0	0	0	0.17	0	0	0	0	0	0	0	0.17	1	0	1	0	0	2.67	0.50	0.50
HTU_5570.t1	1629.25	1647.25	916	1655.50	1137.23	1072	219.50	592.50	749.83	120	113.50	111.50	621.50	842.50	864	1844.92	2297.75	1000.50	890.50	768.50	822.00
HTU_6783.t1	2	0	1	2	1	0	0	0	4	2	0	2	0	0	1	3	0	0	1	0	2
HTU_7030.t1	41.08	32.78	22.13	41.71	35.51	27.51	26.57	13.06	17.42	4.25	2.77	8.16	10.74	10.76	13.49	14.20	16.42	7.13	7.84	8.19	11.77
HTU_6671.t1	121	116.50	113.52	141.80	120.30	132.99	25.42	64.46	96.51	22.84	22.44	9.87	174.65	213.51	226.14	193.30	241.12	109.11	279.20	277.92	258.72
HTU_6970.t1	111	222.50	151	110.50	162.50	169.75	50.50	87.50	82	39	20.50	16.10	26.50	24.50	38	69.50	78.50	34	48.50	47.50	60.50
HTU_6970.t1.1.5f2cc97a	110	211.50	143	104.50	156.50	158.75	48.50	82.50	78	37	20.50	15.10	26.50	24.50	35.33	68.50	72.50	33	47.50	46.50	55.50
HTU_6391.t1	1	0	0	0.50	0	2.50	0	1	10	0	1.50	2.50	4	2.50	2.50	0.50	0	1	0.50	1	2
HTU_7553.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HTU_6514.t1	0.50	1	1	1	1	0	0	0	2	0	1	0	0	0	1	0	0	0	0	0	6
HTU_6124.t1	1	4	1	3	2	1	0	1	1	1	0	0	531	269	505	345	208	102	2050.00	1901	1899
HTU_5945.t1	2346.43	2019.50	2510.33	2469.75	1755.07	2904.58	594.33	1494.75	2751.17	1315.42	955.75	1816.75	593.00	632.92	592.25	733.28	864.83	432.50	1028.75	898.25	1013.50
HTU_6272.t1	0	0	0	0	0.10	0	0	0	0.10	0	0	0	1.22	2.43	2.06	0.58	1.67	0.77	0.87	1.64	0.86
HTU_7379.t1	0.17	0.25	0	2.15	0	0.20	1.35	0	1.50	1	1.25	0	0	1.33	0.67	1.33	1.17	0	0.39	0	0
HTU_5593.t1	0	0.25	0	0	0.28	0.14	0.47	0.36	0.25	0.34	0	0	0.33	0.50	0.27	0.62	0.53	0.38	1.56	1.50	0.70
HTU_6865.t1	0	0	0	0.50	0	0	0.50	0	0	0	0	0.25	0.25	0	0	0	0	0.25	0	0	0.20
HTU_6812.t1	57.50	44.50	54.50	53.50	35.50	84.50	23.50	28.50	53	5.50	11.50	8	101.50	99.50	155.50	142.17	142.50	100	165	188	142.50
HTU_7151.t1	1.12	0	1.54	5.02	1.42	1.79	0	0.27	0	0	0.33	0.10	16.00	51.56	40.03	40.94	27.98	25.30	5.95	4.01	5.62
HTU_6240.t1	0	0	0	0.20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.20	0
HTU_6097.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0.50	0	0	0
HTU_6365.t1	172.25	45.25	85.75	159.42	39.50	111.50	16.50	35.75	32.25	23.50	26.50	20.75	64.75	67.50	90.67	75.50	75.25	48.25	176.75	197.25	179.25
HTU_5939.t1	2.50	0	0	7	0	0	0	0	0	0	0	0	0	0.50	0.50	1.50	1.50	0.50	9	16	0
HTU_6061.t1	0.25	0	0	0.25	0	0	0	0	0	0	0.29	0.33	9.71	17.15	0.49	3.60	9.66	7.15	26.67	4.38	13.70
HTU_7471.t1	3	0	1	2	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0
HTU_6661.t1	23	26.50	23.67	22.83	33.83	20.17	4.83	27.83	24.33	16	20.33	26.67	1.50	1.50	0.50	1.50	2	1	3	1.17	1
HTU_6772.t1	0	0	0.17	0.38	0.12	0	0.12	0	16.71	0	0	6.46	1.06	0.39	4.26	1.77	1.39	1.10	1.40	3.09	0
HTU_5760.t1	1.00	2.17	1.33	0.67	3.33	1	0.83	1.67	0.33	0.33	0	0.67	1.33	0	5.67	4.00	11.67	1.33	7.00	1.33	10.00
HTU_7242.t1	0.33	4	0	0.50	2	1	0	0	0	0	1	1	4.83	8.17	6.33	2.83	35	4.50	44.50	42.17	34.92
HTU_7079.t1	0	0	1	1.50	0	0.50	0	0.50	0	0	0	0	0	0	0	0.50	0	0	2	7	5.50
HTU_6168.t1	676	755.50	726.25	649.50	640	896.25	159.50	615.75	765.50	688.75	653	586.50	635.75	762.50	783.25	793.50	882.75	436.50	899.25	762.50	793.75
HTU_6168.t1.1.5f2de18d	258	295.50	289.25	252.50	257	312.25	92.50	233.75	289.50	270.75	258	226.50	261.75	339.50	333.25	318.50	405.75	204.50	344.25	282.50	308.75
HTU_7101.t1	561	449.50	480	439.50	337	485.50	150.50	664.50	656.50	555.50	772.50	661.50	482	474	488	597.50	499.50	371.50	1208	1500.50	1322.00
HTU_7285.t1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.50	1.83	3	2.25	1.50	0	0	0.83
HTU_7502.t1	70.50	83.50	54.50	69	53.83	91.50	19.50	59	83.80	7.50	8	10.50	122.50	118	126.55	88.50	105.50	88.50	205.33	238	254
HTU_5696.t1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	0	3	3	3
HTU_6583.t1	375.33	443.58	244.67	368.83	297.58	318.75	44.17	179.00	139.67	30.33	25.50	34.33	18.83	28.33	25	114.83	128.83	43.83	38.83	50.83	19.83
HTU_6922.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
HTU_6267.t1	0.10	0	0	0	0	0	0	0.36	0	0	0.11	0	0.10	0.22	0.10	0.10	0.61	0.10	1	1	1.22
HTU_5544.t1	19	14	4	8	11	5	55	15	54.50	8	8	31	13	8	11	8	6	9	8.50	4.50	13
HTU_5507.t1	0	0	0	0	0.10	0	0	0	0.10	0	0	0	1.22	2.43	2.06	0.58	1.67	0.77	0.87	1.64	0.86
HTU_7445.t1	1066	818	652	1053.50	562	786	64	597	665.50	181.17	185	282	946	1391.50	1157	1742.50	1961.50	1444	970	1000.11	878.11
HTU_7114.t1	466.50	425	299.50	436	247.33	296.50	82.83	225.50	202.83	37.50	45.50	43.50	9	12	20.50	62.50	61	12.50	38	28.50	38.50
HTU_7530.t1	0	0	0.50	0	0	0	0	0	0	0	0	0	20.83	40.67	47.83	27.33	19.67	26.50	1.83	1.33	2.33
HTU_6909.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HTU_5532.t1	0	0.92	1.25	0.33	1.00	0.25	0	0.25	0	0	0	0.25	6.42	11.25	25.42	18.75	27.83	11.42	15.25	10.67	11.08
HTU_5772.t1	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0
HTU_5506.t1	5.50	8	8	4.50	6	7	0.50	1	9	0.50	0	2	7	4	2.50	6	6.75	3.50	7.50	4.50	14
HTU_5698.t1	0.29	0	0.79	0.43	0	0	0	0	0	0	0	0.14	0.29	0.50	0	0.89	2.50	0.93	1.48	1.52	0.25
HTU_6638.t1	0	0	0	0	1	0	0	0	0	0	1	0	6	0	1	12	6	4	0	3	4
HTU_6339.t1	0	0	0	0	0	0	0	0	0	0	0.14	0	0.54	0	0	0.60	3.80	0.60	1.30	1.85	0.25
HTU_5485.t1	164.33	175.50	135.37	212.25	202.58	162.41	118.42	221.15	213.08	35.92	27.33	35.42	81.75	79.25	103.83	136.41	195.08	55.00	119.04	181.20	140.04
HTU_6346.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HTU_6735.t1_HTU_6734.t1	115.50	79.50	27.50	124.50	59.50	47	41.50	49	35	6	12.50	4	136	150	174	158	302	137.50	378.50	291.67	355
HTU_6663.t1	7	1	0.50	13.50	0.50	0	0	0	1	2	1	2	117.83	84.00	108.67	30.67	38.00	31.50	202.83	220.67	162.17
HTU_6931.t1	879	950	855	864	894	1078.00	471	759	989	923	1005	515	510	246	491	557	495	363	1074	1052.00	1142
HTU_6083.t1	5.50	2	6.50	3	8	14.20	2	9	3	0.50	0.50	1	257.50	267.25	198.50	177.50	260.50	233.50	174.50	212	158
HTU_6843.t1	3.39	2.02	1.65	1.42	3.80	3.38	5.55	3.07	3.04	2.00	2.44	3.48	1.25	1.68	4.90	3.76	10.07	2.45	1.25	1.73	3.81
HTU_6925.t1	9	4	4	8	3	4	6	5	12	0	2	3	1	0	0	1	1	1	1	0	1
HTU_7474.t1	145	139	125.83	145	127.50	149.50	23	58	78.60	10.50	6.50	13	22.50	20	33	40	39.50	20	38.50	35.17	39.50
HTU_7085.t1	3.50	1.50	3.50	7.50	5.50	4.50	1	1	1.50	2	0	2	424.33	351.10	472.50	613.50	676.87	701.67	180.07	212.20	179.83
HTU_5567.t1	7	0	7	5	0	6	0	14	0	0	4	0	2	16	7	11	6	2	4	4	4
HTU_5985.t1	0.42	0.42	0.71	0.10	0.10	0.50	0.11	0.40	0.60	0.20	0	0.50	1.51	1.86	2.52	1.61	1.61	0.91	1.81	1.83	1.02
HTU_6088.t1	0	0	0	0	0	0.50	0	0	0	0	0	0	0	0.50	0	0	0	0	0	0	0
HTU_5839.t1	0.20	1.50	0	0.50	2.17	0	0	0	0	0	0	0	0	0.50	1.50	0.50	0.50	0	0.50	0	0
HTU_7456.t1	1.50	1	0	0	1	1	0	0.50	1.25	0	0	0	2.00	1	3.50	0.50	4.33	0	106.58	130.83	163.33
HTU_6178.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HTU_5474.t1	573	513.50	638	696	483.50	814	113	474	540.50	140	166	153	132	228.83	193.50	251	310.50	179	160	179	169.50
