H_ery_ID	Orthogroup	HEeggA	HEeggB	HEeggC	HE4cA	HE4cB	HE4cC	HE16cA	HE16cB	HE16cC	HE32cA	HE32cB	HE32cC	HEblA	HEblB	HEblC	HEgaA	HEgaB	HEgaC	HEprA	HEprB	HEprC
HER_18030	NA	0	0	0	0	2	0	2	0	0	0	0	0	3	2	0	0	0	0	0	2	0
HER_18031	OG0002212	0	0	0	0	1	1	0	1	0	0	0	0	22	37	49	9	27	8	38	19	10
HER_18033	OG0015438	11	18	28	112	127	97	71	228	141	144	71	194	58	115	73	93	87	221	148	98	81
HER_18034	OG0013175	220	21	6	5	63	8	2	4	11	1	6	8	1791	741	2018	872	873	800	1179	1004	592
HER_18035	OG0010050	12	24	29	330	176	179	634	374	448	181	325	287	455	257	324	302	437	295	472	368	213
HER_18036	OG0001284	2679	3698	2979	5569	4561	3196	7486	4768	5824	1634	4270	5415	13859	12872	12008	3285	10494	6227	8973	7071	2563
HER_18037	OG0014460	75	47	46	336	161	96	128	129	100	63	62	109	132	101	84	51	86	80	106	85	21
HER_18038	OG0008155	14	7	10	36	41	37	65	39	50	19	38	40	133	101	158	342	295	339	621	418	264
HER_18039	OG0010874	817	1177	943	2768	2668	1402	3413	1440	1727	1120	2739	3198	2370	3461	2563	1894	2210	1956	1779	1474	929
HER_1804	OG0002058	291	81	210	319	493	198	474	247	74	105	272	95	641	439	510	319	555	293	776	666	351
HER_18040	OG0004120	20	60	31	142	150	145	762	472	426	134	354	384	706	750	531	126	441	305	583	574	120
HER_18041	NA	8	22	12	51	56	62	301	224	176	93	181	177	277	311	241	63	172	138	254	227	54
HER_18042	OG0010875	73	139	95	159	154	87	238	233	196	75	139	123	128	174	170	78	92	65	148	100	50
HER_18043	OG0003418	9	6	10	43	4	3	5	2	6	2	2	5	1015	1252	862	947	1175	1334	969	746	572
HER_18044	NA	5	23	11	44	45	44	258	135	118	41	135	99	222	215	165	35	163	105	177	179	35
HER_18045	NA	2	5	4	13	18	15	49	43	33	30	40	34	65	63	48	15	43	34	62	43	14
HER_18046	OG0010875	99	170	159	246	181	173	300	249	308	93	159	130	192	235	205	108	108	83	170	124	54
HER_18047	OG0013927	177	218	240	170	125	110	311	176	168	128	230	220	460	448	444	237	336	254	315	289	124
HER_1805	OG0007250	31	67	33	225	315	266	705	457	519	151	350	468	153	265	103	28	102	46	45	25	25
HER_18050	OG0005582	22	54	18	200	92	69	123	60	107	49	92	126	106	101	80	87	69	62	102	88	41
HER_18051	OG0013928	115	244	104	514	570	477	1085	538	583	221	610	498	76	125	118	110	187	189	227	220	123
HER_18052	NA	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0
HER_18054	OG0007837	233	471	327	1504	1395	1122	2721	1912	2202	1700	2534	1872	1548	940	1845	692	1134	692	1032	800	548
HER_18056	OG0010876	143	317	208	346	220	254	442	347	598	142	318	373	1146	1038	1542	1281	1397	1090	2271	1675	839
HER_18057	OG0015790	9	12	8	22	38	41	47	24	63	18	45	39	157	19	14	5	4	3	3	0	1
