L_var_ID	LV16cellA	LV16cellB	LV16cellC	LV32cellA	LV32cellB	LV32cellC	LV4cellA	LV4cellB	LV4cellC	LVEGGA	LVEGGB	LVEGGC	LVGA	LVGB	LVGC	LVMBA	LVMBB	LVMBC	LVPRA	LVPRB	LVPRC
LVA_3521.t1	15	21	35	6	33	8	18	12	14	5	3	2	1	1	2	2	5	6	3	0	1
LVA_4201.t1	1372	1625	1063	1139.00	3184.00	2571.50	2410.33	2404.50	3276.00	1455	1463	1826.00	6955.00	4881.00	5522.00	6703.00	6883	8805.00	4605	3107.00	3464.00
LVA_3084.t1	91	111	74	34.50	145	56	42	77	76	6	9	117	134	82	123	66	107	149	105	71	85
LVA_4787.t1	97	131	90	11	31	99	127	61	53	133	49	58	311	154	172	119	60	120	259	208	223
LVA_3148.t1	31	44	18	8	38	182	72	77	7	15	17	6	51	81	84	46	79	37	1225	951	1329
LVA_4295.t1	84.50	77.45	39.28	46.65	130.10	125.05	41.31	61.50	74.08	42.50	39.70	59.57	1757.70	676.28	1397.61	340.17	537.52	691.30	5009.22	5883.49	4476.46
LVA_3323.t1	405.33	459.83	236	162.50	613.50	544.17	390.50	140.50	357.50	187.50	223.50	313.83	214.33	77	154.50	56	51	82	137.00	73.50	64.50
LVA_3323.t1.1.5f2bf5d0	308.00	361.50	196	120.50	497.50	417	285	115.50	278.50	137.50	164.50	232.50	213	80	161.50	46	43	80	135.00	67.50	59.50
LVA_3047.t1	271	395	394	201	673	359	644	246	656	267	852	73	2123	850	1057	1175	1604	3055	686	706	752
LVA_3258.t1	7.25	4	0	2.33	5.17	11.17	4.33	0.92	5.17	2.25	0	0	1.33	3.83	3.58	3.08	4.83	2.42	1.33	1.67	0.67
LVA_4594.t1	634	773	402	566	1137	1375	634	759	825	732.50	1082	690.50	1278	563	734	1466.00	1034	1214.53	909	770.50	798
LVA_3324.t1	1198	1509	805	506	1059	830	456	755	1640	78	100	172	533	292.00	300	173	258	244	324	339.00	312
LVA_4510.t1	575	659	542	749	987	1998	703	890	797	1682	1064	452	3811	2687.00	2341	1637	1862	1429.00	4321.00	3719	3574.00
LVA_4176.t1	87	83	73	53	27	51	47	25	65	46	56	40	210	178	157	172	272	244	136	82	97
LVA_4615.t1	548.50	680.50	350	230	234.50	383.50	225	113.50	226.50	112.50	369.50	419	201	223	287	119	69	187	471	321	346
LVA_4587.t1	2268	2737	1848	1387	2566	3321	1779	1594	1782	915	876	602	3820	3025	3838	3758	3153	3417	3159	2160.00	2168
LVA_3965.t1	2	2.73	0.50	3.40	7.67	8.48	4	4.25	4	1	11.10	1	16.90	0.33	6.33	14.15	4.67	17.79	0.60	0	2.33
LVA_3198.t1	3637.00	4428.00	2683	2335	3891	3493	654	794	1663	267	374	514	1949.00	1575	885	2285	1748	1768	511	666	590
LVA_3563.t1	24	51	43.00	135	32	151	84.00	107	97	114	141	116	1577	746	1114	2112.00	1327	2480.00	728	638	522
LVA_3035.t1	1050	1460	625	413.50	943	587	847	1156	1161	379	567	417	1177	963	1031	1744	1567	2359	797	552	533
LVA_4669.t1	771	942	427	392	842	747	430	720	522	624	472	257	261	246	235	81	80	122	674	586	521
LVA_4568.t1	161	150.50	116.50	199.50	65	215	92.50	26	35	55	24	80	107	124	78	38	42	60	616.50	1164	806.50
LVA_3551.t2	1079.75	1296.08	1488.17	915	2141	1913	606.50	727.50	1121	193.50	141.50	204.50	4654.75	2770.12	2915	2960.83	2844.00	4029.75	2365.60	1886.50	1684
LVA_3551.t1	1032.75	1235.08	1401.17	849	1979	1797	502.50	591.50	938	147.50	118.50	162.50	4409.75	2616.12	2775	2747.83	2660.00	3768.75	2196.60	1757.50	1558
LVA_3688.t1	277	243	264	277	355	501	413	448	356	475	253	195	2413	1604	2248	3867.00	5335	9884.00	1066	650	671.00
LVA_3907.t1	3045	3670	3610	3124.00	3377	3236	4657	4329	3266	6528	6332	3268	4658.50	3478	3443	6748	5013	11392.00	2063.00	1686	1652
LVA_4154.t1	295	312.50	585	350.50	604	573.50	789.50	309	432	290	168	280.50	4233.50	2224.50	2223.00	3583	3087	4442.50	810.50	436	463
LVA_4778.t1	6	10	1	5	1	16	4	5	6	0	5	3	40	35	29	14	3	37	85.50	57	104.50
LVA_3585.t1	377.45	496	212	423.83	571.75	661.59	427.14	356.33	573.50	18.11	42	108	450.33	254	383.58	199	335.33	241	371.17	234.33	241.62
LVA_4284.t1	3540.33	4784.83	2087.33	1204.00	1280.50	2187.00	2107.08	2584.83	3355.17	389.83	772.50	868.50	699.50	503.00	700.50	576.33	575	1086.00	610.51	410.17	402.67
LVA_4705.t1	0	0	0	2	0	1	0	0	0	2	0	2	19	8	3	7	24	1	4	2	1
LVA_3502.t1	2.50	7	2	1.50	3	2	2	2	8.83	2	4	2	6	3.50	14.50	6.50	2.50	5	9	4	2
LVA_4031.t1	660	771	596	437	388	517	476	271	530	63	106	155	836	525	563	262	389	451	550	470	414
LVA_4271.t1	6	6	2	2	7	7	41	4	2	1	1	1	339	166	187	247.00	191	294	154	96	114
LVA_4256.t2	0.50	0.50	1	1.50	4	3.50	0	0	0.50	12.50	0	0.50	1243	864.50	810	621.50	487.50	691	553	467	423
LVA_4256.t1	0.50	0.50	2	1.50	4	3.50	0	0	1.50	13.50	0	0.50	1330	944.50	865	672.50	529.50	747	601	509	454
LVA_3582.t1	253	266	69	222	275	308	296	322	136	114	113	128	1808	888	857	840	1349	1656	905	592	785
LVA_4434.t1	1017	1140	865.00	729	1280	1192	572	1361	909	2516	2821	1767.00	540	407	229	226	72	63	897	828	912
LVA_3257.t1	4	0	5.50	0.50	0	7	2	1	1	0	1.50	3	5.50	15	24	12	2.50	2.50	108	214.50	271.17
LVA_3494.t1	64	77	72	64	92	97	80	84	91	8	8	18	94	49	24	36	21	14	57	41	42
LVA_3085.t1	1	9.00	1	0	0	0	1	0	0	0	0	1	2	6.00	0	13.00	28.00	12	1	2.00	1
LVA_3873.t1	10.50	11.50	42	7.50	9	14.50	9	3.50	41	3	10	28	37	9.50	13.50	78	27	25.50	7	13.50	15.50
LVA_4557.t1.1.5f2bf5e3	664	838.00	652	425.50	851.50	612.50	440	458.50	564	144.50	88	94.50	538.50	319	509	356.50	258.50	431.50	487.50	296	326.50
LVA_4557.t1	708	878.00	720	501.50	991.50	705.50	513	544.50	655	169.50	102	113.50	603.50	362	570	425.50	301.50	493.50	551.50	333	387.50
