L_var_ID	LV16cellA	LV16cellB	LV16cellC	LV32cellA	LV32cellB	LV32cellC	LV4cellA	LV4cellB	LV4cellC	LVEGGA	LVEGGB	LVEGGC	LVGA	LVGB	LVGC	LVMBA	LVMBB	LVMBC	LVPRA	LVPRB	LVPRC
LVA_269.t1	0	0	1	0	0	0	0.20	0	0.25	0	0.58	0.25	15.11	0.66	14.55	15.44	0.25	14.76	13.23	4.08	3.28
LVA_321.t1	0	0	0	2	3	1	0	0	1	0	1	0	20	16	17	1	0	0	12	7	0
LVA_798.t1_LVA_801.t1	1.50	2	2	0.33	3.50	17	0	4.50	4.25	4.33	7.17	48.50	6	1	8.50	17.50	1.50	0.50	12.50	4	5.50
LVA_331.t1	2	2	92	3	2	1	22	9	6	12	0	6	3	0	0	4	0	1	34	88	70.00
LVA_739.t1	129.83	103	296.50	109	86.50	322.33	223	117.00	189	83.50	57.50	22	152.50	85	115.50	80.00	97	83.50	122.50	87.50	90
LVA_398.t1	671	448	446.00	200	414	517	662	421	155	310	66	502	164	90.00	157.00	71	121	163	272.00	165	117
LVA_860.t1	0	1	0	2	2	1.33	1	0	0.67	0	0	0	1.33	7.83	8.33	3.50	23.67	5.83	13.67	5.67	5.33
LVA_1314.t1	75	53	36	169	238	301	89.28	207	265.25	19	33.10	60.25	202.50	248	411	539	273	1137	120.00	52	75
LVA_1279.t1	377	56	1274	152	376.00	171	166	178	107.00	6	24	36	44	23	11	9	10	43.00	59	144	146.00
LVA_1206.t1	0	1	0	0	9	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1
LVA_925.t1	3.50	7	14.50	7	10.83	5	7.50	1	8	0.50	0.50	1	5	3.50	3.50	3.50	0.50	2	15	24.83	23
LVA_576.t1	158.00	255	18	6	10	21	2	7	20	13	4	2	3169	1473	1811.00	1036.00	1368	1498.00	1933.00	1198.00	1115.00
LVA_108.t1	145.50	152	150.50	63.50	192.50	420	123.50	97.50	117	16	17.50	17.50	474	279	300.50	452.50	464	547	310.50	190	239
LVA_108.t1.1.5f2bf404	145.50	152	150.50	63.50	192.50	420	123.50	97.50	117	16	17.50	15.50	449	270	294.50	446.50	454	544	290.50	178	228
LVA_953.t1	0	0	0	0	0	0	0	0.50	0	0	0	0	0	0	0	0	2.50	0	0	0	0.50
LVA_155.t1	0.67	0.67	0	0	1.67	0.67	3.20	2.00	0.33	4.33	0.67	0.67	35.33	30.17	5.83	19.92	38.00	9.67	21.83	14.33	21.83
LVA_1344.t1	0	0	0	0	0	0	0	0	0	0	0	0	6.08	0	4.50	0	0	0	11.17	6.67	1.67
LVA_221.t1	21.50	4	6	8.50	41	0	12	1	8.50	2	0	0	4	1	2	0	7	1	3.50	10	30
LVA_1425.t1	2410	2655	2183.00	1343	1549.00	3940	1127	805	1501	326	272	406	1609	1004	995	2081	1496	1945.00	1166	1106.00	919.00
LVA_1300.t1	226	309	685.00	302.00	616.00	816.00	110	128	598	84	112	101	1104.00	544.00	1071.00	655.00	505.00	749.00	733.00	359.00	477.00
LVA_1364.t1	0	0	1.33	0	0	0	0	0	0	0	0	0	1.50	0	0	1.33	0	0	0	0	0
LVA_585.t1	1	0	0	15.50	66	0	1	7	48	1	2	2	0	2	2	2	1	25.25	17	2	0
LVA_466.t1	3.33	4	2	3	6	7	4.83	3	13	0	0	2	5	8.67	4	2	6	5	3	0	4
LVA_136.t1	4.08	0	5.62	0	4.17	20.33	0	3.45	0	1	0.25	0.58	0.58	1.67	1.20	0.20	3.08	1.53	0.20	1.20	0
LVA_10.t1	0	0	0	0	0	0	0	0	0	0	0	0	0.20	0	0	0.50	0	0	0	0	0
LVA_1231.t1	4	0	12	31	20	7	4	11	0	1	26	3	57	31	37	17	5	14	5	193	12
LVA_751.t1	152.50	169	83	99.50	122	102.50	115	114	168.50	50.50	52.50	36	26	8.50	11.50	7	5.50	8.50	20.50	14.50	11.50
LVA_4.t1_LVA_6.t1	32	31.50	109.50	0.50	22.50	15.50	27.50	55.50	88.50	37.50	12.50	32.50	110.50	77	91	60.50	52	57.50	168	59	57
LVA_4.t1_LVA_6.t1.1.5f2d42ea	137.17	154.53	423.70	2.50	109.75	45.83	116.08	277.37	336.00	174.25	83.67	119.17	485.57	337.83	422.43	285.67	206.70	252.07	761.65	299.18	220.70
LVA_614.t1	212.00	224.00	259.00	317.00	1012.50	515.00	882.00	716.00	624.00	929.00	471.00	866.00	33.00	115.00	15.00	66.00	101.00	46.00	3	6.00	2
LVA_1105.t1	9	33	29.50	9.75	5.50	50.87	0	1	3	4.50	0	10	71.32	52.50	44.25	130.87	100.17	184.62	144.95	107.08	92.74
LVA_1098.t1	44.50	68.50	25	21.50	144	6.50	23.50	36	36	3.50	1	6.50	117	96.50	89.50	58	133	108.50	92.50	69.50	64.83
LVA_815.t1	0	0	1	0	0	0	0	0	0.50	0	0	0	6	3	2	5	10	8.50	7	2.50	4
LVA_1337.t1	1251	1538	1280	525	1086	1165	442	533	670	140	130	174	591	313	360	239	272	349	540	494	414
LVA_1020.t1	135.67	142	315.00	119.50	104	396.17	196	134.00	203.50	99.00	60.50	38	216.00	112	136	93.50	100.50	103	135.00	75.50	88
LVA_124.t1	1	4	1	2	0	1	0	1	0	3	1	7	1	0	0	2	1	2	22	32	32
LVA_74.t1	1	2	1	1	3	1	1	1	1	1	0	20	27	19	22	0	0	0	40	41	39
LVA_1377.t1	773	1094.50	1292.50	1050.33	1598.50	1237.50	2186	1295.50	1066.50	1527	1927	2431	12	54	27	68	52	59.50	36.50	97.50	78.33
LVA_106.t1	0	0	0.40	0	0	0	0.14	0	0	0	0	0	0	0	0.20	0.25	0	0.20	0.25	0.60	0.20
LVA_14.t1	4	0	2	0	5	4	0	3	1	3	2	47	42	30	43	31	15	35	94	88	89
LVA_874.t1	0.28	0.83	0.11	0.55	1.26	0.42	0.67	0	0	0.10	0	0.45	10.74	13.95	8.96	2.15	3.11	2.01	17.58	10.89	9.24
LVA_852.t1	0.50	1	5.83	0	22.67	2.42	1	0.67	2	0	0.83	0	6.50	5.50	1.50	1.17	7.50	0.83	2.83	0.50	1.83
LVA_1224.t1	103	84	164	60	88	94	202	228	141	13	195	25	293	130	380	191	237	518	292	120	151
LVA_126.t1	5	1.50	0	1	0	0	0	0	1	0	1.50	0	8	7	3	1	1	0	4	3.50	7
LVA_708.t1	1.50	3	1	1	2.50	6.50	5.50	9	3	1	4	4	5.50	4	3.50	3.50	2	4	2	0	0.50
LVA_1023.t3	284.24	296.32	217.13	168.73	315.99	407.87	109.11	131.55	538.90	57.00	97.28	101.77	406.35	253.02	321.78	271.45	192.27	233.66	295.72	174.56	169.83
LVA_1023.t2	171.74	177.32	131.13	105.73	203.99	263.70	66.61	78.05	308.90	32.50	50.78	57.77	240.35	161.02	200.53	170.20	117.02	143.66	179.06	106.06	107.83
LVA_1023.t1	171.74	177.32	131.13	105.73	203.99	263.70	66.61	78.05	308.90	32.50	50.78	57.77	240.35	161.02	200.53	170.20	117.02	143.66	179.06	106.06	107.83
LVA_788.t1	63.25	100.67	21.50	83.33	41.42	57.83	11.83	62.50	15.33	19.00	30.00	26.00	111.83	60.00	49.50	29.50	20.50	18.83	106.50	124.00	94.58
LVA_389.t2	168.50	130.50	215.17	151	288.50	152.83	167.50	221.50	343	56	185	167	2561.67	1287	1429.00	976.50	841.00	1024.83	1694.33	1503.50	1317.67
LVA_389.t1	168.50	130.50	215.17	151	288.50	152.83	167.50	221.50	343	56	185	167	2560.67	1287	1428.00	976.50	841.00	1024.83	1693.33	1503.50	1317.67
LVA_644.t1	0.20	0	0.61	0	0	1.07	0.39	0.12	0.20	0.33	0.12	0.29	5.31	6.07	9.82	8.52	7.21	7.98	5.84	0	1.32
LVA_496.t1	70	92	84	30	67	53	41	76	237	22	37	16	143	135.00	128	106	175	110	107	76	76
LVA_1434.t1	802	847	1245	474	1394	1411	504	687	949.00	404	948.00	450	1585	633	749	857	955	1107	951	630	821
LVA_1124.t1_LVA_1126.t1	0.95	2.00	0.25	16.75	0.25	1.20	2.90	0.25	3.25	0	1.62	0.20	7.48	3	0	13.77	2.25	2.35	0.75	21.53	1
LVA_449.t1	35	59	48	61	37.25	66	98.67	95	134	144	275.17	40.90	39.42	24	19	12	28	17	46.17	35.83	32.83
LVA_506.t1	3902.14	4638	3151	3083	3776.00	3685.77	1862	2524	2760.14	2847.20	2972.50	3557	2649.20	1638.75	1666	1769.41	1563.10	1698.38	1345.25	878.20	831
LVA_326.t1	0	0	0	0	0	0	0	0	0	0	0	0	57.94	21.45	26.55	0	0	0	30.50	14.22	18.83
LVA_263.t1	0	0.50	0	0.25	0	0	0	0	0	0	1	0.20	10.46	0.73	28.93	39.33	0	15.01	33.19	7.52	2.59
LVA_971.t1.1.5f2bf3fc	64.50	75.50	31	27.50	64.50	54.17	73.75	56.50	64.75	28.75	18.25	21.50	13	9	11.25	9.50	21.50	17.50	10	8.50	9.50
LVA_971.t1	64.50	75.50	31	27.50	64.50	54.17	72.25	56.50	64.75	28.75	18.25	21.50	13	9	11.25	9.50	21.50	15	10	8.50	9.50
LVA_669.t1	0	0	0	0	0	0	0	0.50	0	0	0	0	0	0	0	0	0.50	0	0	0	0.50
LVA_97.t1	164	253	34.50	62	126	269	78	94	74	468	33	15	617	427	232	570	449	1447.00	548	468	641
LVA_977.t1	3.24	2.33	0.45	5.19	1.75	0.20	3.69	2.15	1.08	5.67	3.27	3.01	2.10	0.25	2.23	1.72	1.33	1.83	0.25	2.17	0.25
LVA_423.t1	208	286	202	63	200	292	307	182	250	39	43	61	190	116	176	53	90	61	246	165	199
LVA_785.t1	5.50	4.50	2.50	1	6	5	3	2.50	5.50	0	0.50	0	0.50	2.50	1	1.50	0.50	0	3	2	2
LVA_1102.t1	0.25	0.25	0	0	0.11	0.12	0.11	0	0	0	0.25	0	0.14	0.52	0	0.62	0.12	0.20	0.25	0.90	1.64
LVA_1306.t1	0	0	1	0	0	0	0	0	2	0	4	9	1	2	1	2	2	1	1	0	0
LVA_1276.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LVA_1354.t1	0	0	0.60	0	0	0.83	0	0.20	0.14	1	0	0	0.50	0	1	1.00	0	1.00	0.20	0	0.50
LVA_908.t1	1.20	0.75	1.62	0.78	2.53	7.25	0.50	0.17	0	0	0.20	0.75	2.88	2.35	30.93	2.93	10.50	7.77	30.88	1.95	2.33
LVA_1558.t1	0.10	0.17	5.48	0	0.10	0.10	0	0.41	0	3.10	0.14	0.63	0.31	0.24	2.29	1.15	0.64	2.28	1.74	1.97	1.70
LVA_1115.t1	736.17	961.50	1120.25	424	740.33	1061.50	287	145.50	379	180.67	135.50	292.83	525.17	222	354.50	307.00	341	247.83	304.50	199	235.50
LVA_634.t1	12	10	25.50	0	3	5	2.50	5	38	0.50	4	9.50	4.50	6.50	2	0	6.50	7.50	1.50	3	5.50
LVA_39.t1	4353.88	5765.05	3053.25	2554.28	4421.72	3111.97	5500.58	3170.19	4797.80	967.00	1467.40	1136	4414.40	3302.57	3081.83	4361.67	3243.02	5111.33	2555.33	1701.57	1546.40
LVA_1024.t1	0	0	0	0	0	0	0	0	0	0	0	0.50	4.50	0	0.50	5.50	3.50	3.50	0.50	2.50	0.50
LVA_1395.t1	0.50	1	1	0	0	0.33	0	0.20	1	0	0	0	0	0	0	0.20	0	0	0	0	0
LVA_939.t1	1	1.50	2	4	0.50	4	1	5	1	1	2	0.50	1.50	2	0.50	0	6.50	0.50	30.50	75	39
LVA_956.t1	160.50	175.50	61.50	101.50	200.50	161.50	130	88.50	216.50	12.50	27.50	16	292.50	147.50	217.50	104.50	109	104.50	239	156	174.50
LVA_1530.t1	510.50	618	543	286	483.50	698	713	700.50	448	586.50	695	621	141	461	129	25.50	34	16	565	660	660
LVA_965.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.50	0	0	0.50	0	1	1
LVA_1420.t1	252	393	86	194	164	98	142	157	291	44	34	99	257	123	226	191	118	131	267	71	105.00
LVA_133.t1	90	122	25	57	228	111	37.50	154	179	65	116	84.00	203	174	161.00	300	303	247.50	236	218	213
LVA_569.t1	0	0	0	0	0.10	0	0.24	0	0.10	0.14	0	1.41	0.14	1.32	0.58	4.79	1.53	2.32	2.33	1.67	2.16
LVA_218.t1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
LVA_238.t1	60.83	84.00	264.83	82.33	69	129.50	61.17	129.17	63.83	78.67	13.33	13.50	152.08	125.20	71.70	272.32	118.58	59.33	206.67	190.50	240.37
LVA_1062.t1	659.93	710.33	467.50	266.50	643.50	428.50	684.50	596.67	252.60	296	346.67	614.67	63.50	172	70.60	35.67	28.50	26.50	117	69	48
LVA_1082.t1	28.48	22.62	71.78	26.58	57.53	63.58	29.33	55.25	42.17	59.90	75.08	95	338.33	269.60	362.02	145.43	459.65	381.21	561.97	453.53	529.09
LVA_199.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LVA_913.t1	142.75	167.75	47.30	40	181	240	78.50	92	60.50	10.50	10.50	21.50	73.50	47.50	62.50	50.50	25	34.50	84.50	63.33	80
LVA_1313.t1	29	8	53	17	78	67	9	0	13	1	5	0	761	502	472	1079	1194.00	1611	394	192	241
LVA_485.t1	0	0	0	1.73	0	0	0	0	0	0.17	0	0	0.85	1.83	0.98	0	0	38.29	5.65	7.02	2.35
LVA_1386.t3	111.66	144.33	112.33	92.33	117.33	130.00	39.67	83.67	88.00	37.33	22.00	25.00	64.67	13.33	8.00	18.33	17.67	5.00	47.67	61.67	49.67
LVA_1386.t1	113.16	146.33	113.33	95.83	117.83	131.00	41.17	87.67	89.50	38.33	22.00	25.50	65.67	13.83	8.00	18.33	18.17	5.00	48.17	62.17	50.17
LVA_1386.t2	113.16	146.33	113.33	95.83	117.83	131.00	41.17	87.67	89.50	38.33	22.00	25.50	65.67	13.83	8.00	18.33	18.17	5.00	48.17	62.17	50.17
LVA_1067.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.50	0	0	0	0	0
LVA_293.t1	0	0	0	0	0	1.00	0	0	0	0	0	0	24.00	37.00	41.00	97.00	11.00	0	73.00	50.00	64.00
LVA_1071.t1	0	0	0	0	0.50	0	0	0	0	0	0	0	0	0	0.50	0	0	0	0	0	0
LVA_630.t1	0	0	2	0	5	14	0	3	6	2	15	4	318	154	87	48	19	82	337	1199	732
LVA_756.t1	12	10.50	2.50	1	3.50	12.50	0.50	10	13	0	6	0	1	0	0.50	0.50	0	0	0	0	0
LVA_958.t1	277.55	127.48	792.44	228.18	487.25	416.62	307.31	587.99	499.05	56.33	59.83	100.83	294.53	148.98	179.45	77.93	85.45	143.79	189.60	110.33	118.81
LVA_60.t1	0	0	0	0	0	0	0	0	1	0	1	3	0	1	1	0	0	0	3	23.50	25
LVA_1547.t1	145	153.50	38	34	784	268.17	117	152.50	151.50	11	46	28	48.50	42	66	31.33	16	21	117.50	69.50	94.50
LVA_433.t1	392.99	455.33	369.33	163.00	484.33	527.33	264.66	256.33	508.99	160.00	212.33	232.33	395.99	297.33	239.00	234.33	233.66	263.66	345.99	371.33	365.99
LVA_433.t3	392.99	455.33	369.33	163.00	484.33	527.33	264.66	256.33	508.99	160.00	212.33	232.33	395.99	297.83	239.00	234.33	233.66	263.66	345.99	371.33	365.99
LVA_433.t2	392.99	455.33	369.33	163.00	484.33	527.33	264.66	256.33	508.99	160.00	212.33	232.33	395.99	297.83	239.00	234.33	233.66	263.66	345.99	371.33	365.99
LVA_437.t1	93	46	31	30	67	51	174	32	315	13	98	43	69	34	81	236	26	146	85	34	60
LVA_548.t1	1	1	1	2	2	1	6	20	5	8	2	8	3	1	1	0	0	1	2	5	4
LVA_76.t1	1474.62	1717.80	1402.08	1122.50	1263.58	1433.50	2847.87	2786.90	1669.17	891.75	1084.08	1148.92	677.33	397.00	469.42	402.58	226.33	429.83	498.67	305.67	315.12
LVA_1053.t1	54	24.50	186	23.50	192.50	813.50	96	77	40.50	12.50	9.50	20.50	9	5.50	0	0	2	4.50	6	2	2.50
LVA_1478.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	1	4	3	7
LVA_473.t1	0	0.50	0.50	1	4.33	12.17	12.83	2.50	10.17	0	0.50	0.50	8.50	10.50	1	5.33	16	2.83	0	0	0
LVA_231.t1	677.50	917	379.50	112	494.00	576.50	85	76.00	246	60	28	36	674.00	415.00	451.00	262.50	317.00	235.00	467	393.00	393
LVA_201.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LVA_990.t1	2.50	4.50	1.50	1.83	1.50	1.67	1	2.50	3.17	0	1	1	3.50	1.50	4.33	1	3.00	2.50	2.50	1.50	0.50
LVA_1143.t1	3	0.50	2.50	1	0	3	2	0	6	4	9.50	35	55	69	46	16.50	19	16	355.17	310.67	301.83
LVA_592.t1	1183	1108	262	1383	913	1188.00	960	889.00	1287.00	275	300	285	747	375	678	192	425	356	952	592	424
LVA_178.t1	7.50	6	61	6	4.50	10	11.50	10.50	4.33	23.83	1	292	105.50	27	27.50	17	10.50	30	24.50	11.50	22
LVA_1431.t1	8	3	2	85	58	16	1	225	2	0	5	3	8	3	7	24	21	10	9	60	19
LVA_877.t1	0	2	0.83	0.67	0.33	6.17	5.17	0	5.00	0	1.00	0.83	6.50	2.50	5	1.50	4	4.50	0.50	3.50	0.50
LVA_1437.t1	2.83	5.50	0	0	1.83	3.83	1.50	0	0	6.00	0	1	9	8.33	5	2	3	17	4.25	1.33	4
LVA_151.t1	0	0	0	0	0.17	0	0	0	0	0	0	0	0.74	0.75	0.50	1.11	0.33	0.50	0.42	0	0.40
LVA_1332.t1	74	141	61	108	275	184	44	60	43	17	7	26	343	148	205	170	190	258	284	192	191
LVA_123.t1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	5	4	0	0	1	1
LVA_361.t1	23	47	7	6	16	82.50	9	21	18	1	5	4	927.17	242	219.10	40.50	111.00	231.25	795.20	1001	761
LVA_1432.t1	2009	2259	1648	1193	2388	2997	1889	1843	1956	631	761	967	2470	1733	2034	3093	2945	3369	1254	725	703
LVA_1405.t1	307	353	81	285	663	507	672	638	420	578	538	330	742.00	345	558	213	233.00	236	570	491	384
LVA_50.t1	2665.00	2810	1410	1657.00	1707	3394.00	1969.00	1623.00	3339	1070	1619	1914	1544.00	972	1168	1803	1106	2038	761	530	487
LVA_917.t1	0	5	1.50	2	1.50	0	0	2.50	13	2	3.50	1.50	4.50	7.50	13.50	0.50	2	1	18.50	13	7.50
LVA_1290.t1	0.25	0.53	0	0	3.88	5.37	0	0.33	0	7.62	0	0.20	3.50	2.45	1.37	1.12	4.38	2.40	1.42	0.33	0.20
LVA_554.t1	4.50	4	11.50	1	10.50	11	22.50	0	22.50	1.50	6	2	12.50	2	2	1.50	3.50	2.50	2	7.83	1.50
LVA_96.t1	1	0	0	0	1	1	0	0	0	0	0	0	3	1	1	79	1	2	37	3	0
LVA_810.t1_LVA_807.t1	27.83	21.50	45.50	24	87.25	22	25.33	63.50	32.50	45.50	35.50	26.50	90.50	364.33	216.33	115.50	180	463.32	477.67	196.67	200.17
LVA_412.t1	199.50	183	362.50	127	401.50	420.00	315.50	633.83	261.50	58	62	286.50	312.50	203	167.50	248.00	244.00	454.20	218.50	174	97
LVA_988.t1	24.50	40.50	20.50	2.50	44	39.83	50.50	34.50	68	8	11.50	26.50	47.90	6	6	9	20.50	6.50	2.50	4	3.50
LVA_224.t1	0	0	5	0	0	1	0	2	1	0	0	0	9.17	2	5	0.50	0	0	7	1	2.50
LVA_711.t1	3.12	2.33	5.00	2.58	6.67	5.67	7.29	10.00	13.70	12.62	3.14	2.50	33.87	23.46	11.46	11.62	16.67	21.29	3.17	1.96	4.17
LVA_892.t1	1	0	0	0.50	3	0.50	1.50	2	0.50	0	0.50	0.50	2.50	5	8.50	8	7	8.50	2.50	2	7.50
LVA_1502.t1	201.50	217.50	47	52.00	130	171.50	96.00	92.00	148	178	38	110	123	92.50	97.50	76.33	49	66	166	102	94.00
LVA_771.t1	0	0.45	0	0	0.45	1.55	0	0.87	1.35	0.70	1.78	0	9.23	2.62	4.13	3.20	15.07	3.17	7.00	15.27	12.00
LVA_442.t1	1999.00	2618	1444.00	998	1330	2250.50	760	1075	1670	403	880	336	1804	1284	1525	470	1132	554	1193	604	734
LVA_1473.t1	1	1	0	0	0	2	0	0	1	0	0	0	6	11	1	0	0	0	2	3	1
LVA_1038.t1	0.50	0.33	0	0	0.50	0	0.20	0.20	0.20	0	0.50	0	1.03	1.33	1.87	3.50	2.07	1.88	1.15	5.17	18.08
LVA_750.t1	0	0	0	0	0	0	0	0.50	0	0	0	0	0.50	0	0	0	0.50	0	0	2	0.50
LVA_1537.t1	291	378	55	195	782	738	236	198	131	148	90	172	286	199	238	141	258	320	282	112	115
LVA_962.t1	0	0	1.50	0	1	2	0	0.50	0	0	0	0	1	0	0	0	0	0.50	0	0	0
LVA_578.t1	12	10	3	6	161	3	52	254	493	278	415	5	12	47	71	12	7	6	313	95	133
LVA_527.t1	0	6	0.50	5.50	1.50	0	11.50	0.50	1.58	3	1.50	1.50	4.33	13.83	14.33	9.67	6.33	13.83	4.33	4.00	3.33
LVA_848.t1	17.33	20	61.50	2.00	18.50	43.58	0.50	14.17	12.00	1.33	1.67	0	43.00	29.67	50.83	59.17	15.50	21.75	37.67	4.67	7.83
LVA_40.t1	177	165	104	94	214	170	1016	102	191	90	23	87	626	680	485	558	476	637	755	643	635
LVA_1047.t1	82.50	95.90	21.50	22	51	60.50	75.50	6.50	55.67	9.50	10.50	3.50	523.92	234.50	366.50	136	134.50	160.75	458.17	361.17	335.17
LVA_193.t1	116	109	77	47.00	173	148.50	75.50	102	102	43	18	44	358	196	356	216	175	261	358	240	227
LVA_206.t1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1
LVA_1427.t1	1110.50	1221.83	612.00	492.67	1472.17	952.83	671.33	696.50	1287.50	95.33	103.00	156.00	5494.83	2553.83	3169.33	1221.33	1325.50	1652.17	5578.33	4154.17	3868.17
LVA_653.t1	12.60	3.50	5	7.61	0.81	9.10	5.50	7.33	4	12.50	0.10	5.60	26.30	7.26	14.78	11.26	6.24	4.64	38.00	54.89	47.13
LVA_1099.t1	4	1.50	7.50	2	0.50	2.50	0	3	8	1	3	1	57	37.50	32.83	74.50	108.50	88.50	71.50	53	68
LVA_1090.t1	1	1	1	0	0.50	9	1	0.50	3	5.50	2	17.50	4.50	3	2.50	13.50	1.50	0.50	7.50	3	2.50
LVA_387.t1	31	32	41	82	27	22	68	108	27	2	50	163	226	394	545	284	1362	717	433	844	480
LVA_1137.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0.50
LVA_222.t1	0.50	0	0	1.50	0	0	0	0	0.50	1	0	0	1	1	0	1	2	1	0	0	7
LVA_1461.t1	133	124	122	82	122	207	87	100.00	167	4	79	69	15	41	17	3	92	85.00	75	100	85
LVA_192.t1	401	502	485.00	387	450	669.50	714.50	2260	308.50	294	162	198	412	161.50	126.50	89	131	60	186	180	131.50
LVA_789.t1	2.50	0	0	0	0	0	2.50	0	0	0	0	0	0	0	0	6.50	0	0.50	46.17	87	66.50
LVA_780.t1	0	0	0	0	0.50	0	0	0	0	0	0	0	0	0	0.50	0	0	0	0	0	0
LVA_1399.t1	1322	1489.00	2093.00	1283	1632	2431	2569	1757	1763.00	387	329	334.00	1126	679	928	1335	884	1280	978	762	837.00
LVA_1409.t1	25	14	3	21	0	11	7	2	6	4	7	19	10	11	2	4	1	3	135	138	150
LVA_717.t1	100.50	175	119.50	69.50	163.50	161.33	308.50	97.83	188	43.50	78	245.50	141	46	47.50	14	19.50	2	95	160.50	93
LVA_514.t1	0	0	0	0	0	0	0	0	0	0	0	0	1	1.50	0.50	0	0	1	0	0	3.50
LVA_180.t1	1	1	0	0	0	0	19	0	105	0	65	142	3	16	0	1	40	0	8	1	3
LVA_864.t1	2	0	0	1	1	0	1	0	0	0	0.33	0	1.25	2.50	3.50	1.33	24.33	0.67	5.08	5	4.33
LVA_865.t1	0	1	0	0	0	0.50	1	0	0.50	0	0	0	1.67	1.50	4.50	1.83	22.83	0.67	2.50	8.50	4
LVA_829.t1	5	1	1.50	1	0	3.50	4	0	0	0	1	0	4.50	0	2	13.50	0	5	36.60	32	26
LVA_338.t1	2	0	0	0	3	0	0	0	0	0	0	0	569	311	349	31	31	135	434	213	145
LVA_458.t1	3461	4018.00	2613.00	2351	4034.00	3614	2072	3330	3615	3414	5285	3538	5315	2777	3658.00	3813	5296	7067.00	2389	2052	1721
LVA_1192.t1	0	0	1	0	412	0	1	10	3	0	0	3	14	17	7	6	7	8	10	16	24
LVA_1185.t1	0.50	1	2.50	1	0	2.50	1	1	3	5.50	0	1.50	18.83	15.50	708.17	1.83	9.50	7.50	454.33	5	2
LVA_1524.t1	31	39	6	3	5	2	4	1	0	60	1	8	2562	1525	1557	2641.00	3001	5946	1807	1767.00	1340
LVA_859.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	1	0
LVA_257.t1	0	0	0	0.25	0	0	0	0	0	0	0.33	0	1.81	0.87	1.20	3.78	0	1.74	2.37	0.67	2.90
LVA_1426.t1	846	1094	943	568	677.00	997	439	258	165	93	38	137	314	207	199	195	428	203	347	222	196
LVA_656.t1	20	16	20.50	21.33	41	41.50	24	1	32	6	24	3	352	330.50	404.00	691	545	841.83	398.00	362.17	307.17
LVA_420.t1	1271	1585	831	1033	2233	961	581	1528	1129	127	274	376	1003	612	817	513	659.50	1119	708	450	430
LVA_1370.t1	1655.33	1898.00	1287	1295.50	1328.50	2105.50	637	555.50	1137.50	153	195	120	726	501.50	489.50	870.00	790.50	1113.50	765	653.50	577.00
LVA_87.t1	2	0	1	10	11	2	1	37	3	1	3	5	11	5	3	3	3	0	5	12	6
LVA_58.t1	0	1	2	0	0	0	0	0	0	0	1	2	97	63	25	66	57	121	131	157	178
LVA_625.t1	12	15	15	2	25	30	46	3	0	16	0	3	11	11	10	5	4	6	10	8	4
LVA_836.t1	0.70	1.21	0.25	12.35	0	0.20	1.65	1.38	1.75	1	2.03	0.20	6.15	1.75	0	18.27	1.25	3.60	0.50	26.22	0.50
LVA_1302.t1	56	70	61	15	41	54	14	7	62.50	7	33	4	948.50	870.50	940	927	907.50	1276	845.00	648.50	622
LVA_476.t1	96	80	53	31.50	145	350	93	119	77	67	49	70	857	436.50	529	1128.50	1128	1141.50	413.50	259	284
LVA_408.t1	0	1	1	0	2	1	6	0	0	0	0	0	11	36	6	14	56	4	7	28	49
LVA_995.t1	4.50	7	0	3.50	3.50	0.50	8	6.50	8	3.50	0	1	14.50	6	10.50	6	9.67	6	6.50	6.50	3.50
LVA_455.t1	1	1.51	0.80	5.09	2.95	1.07	9.17	1.88	10.01	1.17	10.90	2.41	1.69	0.32	4.04	1.46	2.19	3.12	2.47	1.85	1.48
LVA_475.t1	9.17	7.00	7.67	7.50	9.67	15.17	73.17	12.17	17.33	10.67	9.83	6.83	26.00	42.83	18.83	8.33	13.50	8.17	12.00	11.17	3.83
LVA_604.t1	2081.64	2840.67	1448.50	2242.17	2305.67	3592.67	1034.00	1057.00	1531.50	641.50	466.50	436.00	2136.17	1062.83	1375.50	1299.50	1683.67	2232	1547.64	1018	1039.67
LVA_916.t1	422.25	491.25	143	122.17	380.67	616	267.00	275	160	35	36.50	54	193	206.50	168.50	146.50	119.67	106	241.17	202	193.50
