H_ery_ID	HEeggA	HEeggB	HEeggC	HE4cA	HE4cB	HE4cC	HE16cA	HE16cB	HE16cC	HE32cA	HE32cB	HE32cC	HEblA	HEblB	HEblC	HEgaA	HEgaB	HEgaC	HEprA	HEprB	HEprC
HER_1144	0	0	0	11	3	4	2	20	1	7	2	36	1	5	0	1	0	1	3	1	1
HER_11442	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0
HER_11444	0	0	0	0	0	0	0	0	0	0	0	0	2	7	7	12	9	2	8	7	3
HER_11445	0	0	0	3	0	2	4	1	4	2	2	9	0	0	0	1	0	0	1	0	2
HER_11446	1	0	0	4	1	2	4	2	1	1	1	16	2	3	0	2	2	1	1	0	0
HER_11447	2	0	0	0	0	2	4	3	0	0	4	4	4	2	1	0	0	1	0	0	0
HER_11448	0	1	0	0	1	1	2	2	0	1	3	2	2	1	0	0	0	0	0	0	0
HER_11449	0	1	3	0	2	0	6	1	15	7	8	1	7	1	6	12	4	3	26	10	61
HER_11450	0	0	1	1	0	6	6	3	10	0	3	1	5	4	1	6	2	1	24	14	61
HER_11451	4	0	5	14	10	17	7	3	8	0	8	0	0	1	0	0	0	0	1	0	1
HER_11452	0	0	0	0	0	0	0	0	0	0	0	0	2	6	0	0	0	0	1	0	2
HER_11453	0	1	0	0	0	14	6	1	0	1	4	19	72	67	4	4	50	13	2	0	14
HER_11454	0	0	0	0	1	0	0	0	3	0	1	0	6	0	5	3	2	0	7	1	5
HER_11455	0	0	2	9	8	17	55	13	11	14	70	30	32	13	40	10	16	12	18	16	10
HER_11456	0	2	1	7	8	5	40	8	3	10	56	16	21	9	27	5	10	5	14	7	4
HER_11457	0	6	2	18	14	16	81	15	13	4	83	21	10	5	12	12	11	12	20	10	9
HER_11458	153	825	153	698	781	853	801	806	1800	548	593	833	1068	1191	1940	2475	2798	1825	2570	2049	1425
HER_11459	5	24	11	40	23	17	22	11	19	23	23	18	21	17	48	58	24	21	56	27	17
HER_11460	1	0	1	4	2	4	4	5	18	1	2	10	0	24	4	58	0	0	4	4	6
HER_11461	0	0	0	2	0	0	0	1	1	0	1	0	3	6	1	8	1	0	1	0	0
HER_11462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HER_11463	2	0	0	5	18	0	0	45	1	22	1	2	3	1	11	31	8	2	139	58	56
HER_11464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HER_11465	1	13	1	1	8	3	4	4	5	1	5	0	1	0	1	0	1	0	0	0	0
HER_11466	0	5	1	1	3	0	1	3	1	2	3	11	5	8	2	3	2	2	10	3	14
HER_11467	1	0	2	5	12	9	18	7	19	5	13	5	5	3	1	3	3	1	1	0	0
HER_11468	0	0	0	0	1	0	0	24	0	10	2	0	4	0	2	4	1	1	3	3	1
HER_1147	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
HER_11470	3887	3478	3357	1511	1935	1162	1938	1166	1450	488	877	1982	1807	1547	1273	900	1845	1105	2198	1485	874
HER_11471	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	2
HER_11473	27	23	23	86	43	54	135	94	90	45	86	134	94	64	58	46	53	46	92	59	42
HER_11475	8	32	16	58	66	50	136	84	122	44	60	74	66	72	50	24	74	44	58	54	24
HER_11477	2829	4760	4100	1736	1659	1232	2982	1908	2158	970	1587	2072	2025	1690	1875	1174	1989	1447	3100	2040	859
HER_11478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	2
HER_11479	20	20	14	130	116	174	184	84	219	49	132	284	260	350	206	143	252	184	178	111	88
HER_1148	3	0	10	2	12	1	1	3	5	1	0	1	0	0	0	1	0	0	0	0	0
