Sample,Species,Stage,Replicate
HTeggA,HT,egg,A
HTeggB,HT,egg,B
HTeggC,HT,egg,C
HT4cA,HT,4c,A
HT4cB,HT,4c,B
HT4cC,HT,4c,C
HT16cA,HT,16c,A
HT16cB,HT,16c,B
HT16cC,HT,16c,C
HT32cA,HT,32c,A
HT32cB,HT,32c,B
HT32cC,HT,32c,C
HTblA,HT,bl,A
HTblB,HT,bl,B
HTblC,HT,bl,C
HTgaA,HT,ga,A
HTgaB,HT,ga,B
HTgaC,HT,ga,C
HTprA,HT,pr,A
HTprB,HT,pr,B
HTprC,HT,pr,C
