"gene_1","gene_2","species","coex","hpf"
"fgf","sm37","Lv",1.97476686780033,12
"fgf","sm37","Lv",1.27349909035779,16
"sm37","vegfr","Lv",22,20
"sm37","vegfr","Lv",0,24
"sm37","vegfr","Lv",0.525762355415352,6
"sm37","vegfr","Lv",4.44100180738446,9
"sm37","vegfr","Lv",3.39892665474061,12
"sm37","vegfr","Lv",2.68787712561711,16
"sm37","vegfr","Lv",0.727713765918739,20
"pks2","sm37","Lv",23,24
"pks2","sm37","Lv",0,6
"pks2","sm37","Lv",0.525762355415352,9
"pks2","sm37","Lv",4.13116447198554,12
"pks2","sm37","Lv",2.41502683363148,16
"pks2","sm37","Lv",1.31651124520022,20
"pks2","sm37","Lv",0.0606428138265615,24
"sm37","tbr","Lv",24,6
"sm37","tbr","Lv",0,9
"sm37","tbr","Lv",0.546792849631966,12
"sm37","tbr","Lv",4.49264136328428,16
"sm37","tbr","Lv",3.39892665474061,20
"sm37","tbr","Lv",2.30389467910038,24
"sm37","tbr","Lv",0.242571255306246,6
"sm37","wnt1","Lv",25,9
"sm37","wnt1","Lv",0,12
"sm37","wnt1","Lv",0.357518401682439,16
"sm37","wnt1","Lv",0.542215336948102,20
"sm37","wnt1","Lv",0.536672629695885,24
"sm37","wnt1","Lv",0.164563905650027,6
"sm37","wnt1","Lv",0.363856882959369,9
"ets1","sm37","Lv",26,12
"ets1","sm37","Lv",0,16
"ets1","sm37","Lv",0.504731861198738,20
"ets1","sm37","Lv",2.60779757294087,24
"ets1","sm37","Lv",0.983899821109123,6
"ets1","sm37","Lv",1.09709270433352,9
"ets1","sm37","Lv",0.606428138265616,12
"erg","sm37","Lv",27,16
"erg","sm37","Lv",0,20
"erg","sm37","Lv",0,24
"erg","sm37","Lv",0,6
"erg","sm37","Lv",0,9
"erg","sm37","Lv",0,12
"erg","sm37","Lv",0,16
"fgf","sm50","Lv",28,20
"fgf","sm50","Lv",0,24
"fgf","sm50","Lv",0.82018927444795,6
"fgf","sm50","Lv",3.25329202168861,9
"fgf","sm50","Lv",2.32558139534884,12
"fgf","sm50","Lv",1.42622051563357,16
"fgf","sm50","Lv",0.303214069132808,20
"sm50","vegfr","Lv",29,24
"sm50","vegfr","Lv",0,6
"sm50","vegfr","Lv",0.778128286014721,9
"sm50","vegfr","Lv",3.2274722437387,12
"sm50","vegfr","Lv",2.77280858676208,16
"sm50","vegfr","Lv",1.70049369171695,20
"sm50","vegfr","Lv",0.181928441479685,24
"pks2","sm50","Lv",30,6
"pks2","sm50","Lv",0,9
"pks2","sm50","Lv",0.82018927444795,12
"pks2","sm50","Lv",3.15001290988898,16
"pks2","sm50","Lv",1.96779964221825,20
"pks2","sm50","Lv",0.822819528250137,24
"pks2","sm50","Lv",0,6
"sm50","tbr","Lv",31,9
"sm50","tbr","Lv",0.036563071297989,12
"sm50","tbr","Lv",0.841219768664564,16
"sm50","tbr","Lv",3.07255357603925,20
"sm50","tbr","Lv",2.77280858676208,24
"sm50","tbr","Lv",1.42622051563357,6
"sm50","tbr","Lv",0.0606428138265615,9
"sm50","wnt1","Lv",32,12
"sm50","wnt1","Lv",0.0182815356489945,16
"sm50","wnt1","Lv",0.483701366982124,20
"sm50","wnt1","Lv",0.284017557449006,24
"sm50","wnt1","Lv",0.447227191413238,6
"sm50","wnt1","Lv",0.0548546352166758,9
"sm50","wnt1","Lv",0.0606428138265615,12
"ets1","sm50","Lv",33,16
"ets1","sm50","Lv",0,20
"ets1","sm50","Lv",0.799158780231335,24
"ets1","sm50","Lv",1.67828556674413,6
"ets1","sm50","Lv",0.983899821109123,9
"ets1","sm50","Lv",0.65825562260011,12
"ets1","sm50","Lv",0.121285627653123,16
"erg","sm50","Lv",34,20
"erg","sm50","Lv",0,24
"erg","sm50","Lv",0,6
"erg","sm50","Lv",0,9
"erg","sm50","Lv",0,12
"erg","sm50","Lv",0,16
"erg","sm50","Lv",0,20
"sm37","sm50","Lv",35,24
"sm37","sm50","Lv",0,6
"sm37","sm50","Lv",0.315457413249211,9
"sm37","sm50","Lv",3.43403046733798,12
"sm37","sm50","Lv",3.04114490161002,16
"sm37","sm50","Lv",1.64563905650027,20
"sm37","sm50","Lv",0.545785324439054,24
"fgf","kirrelL","Lv",36,6
"fgf","kirrelL","Lv",0,9
"fgf","kirrelL","Lv",0,12
"fgf","kirrelL","Lv",0.69713400464756,16
"fgf","kirrelL","Lv",0.447227191413238,20
"fgf","kirrelL","Lv",0.493691716950082,24
"fgf","kirrelL","Lv",0.181928441479685,6
"kirrelL","vegfr","Lv",37,9
"kirrelL","vegfr","Lv",0,12
"kirrelL","vegfr","Lv",0,16
"kirrelL","vegfr","Lv",0.645494448747741,20
"kirrelL","vegfr","Lv",0.805008944543828,24
"kirrelL","vegfr","Lv",0.65825562260011,6
"kirrelL","vegfr","Lv",0.121285627653123,9
"kirrelL","pks2","Lv",38,12
"kirrelL","pks2","Lv",0,16
"kirrelL","pks2","Lv",0,20
"kirrelL","pks2","Lv",0.619674670797831,24
"kirrelL","pks2","Lv",0.715563506261181,6
"kirrelL","pks2","Lv",0.219418540866703,9
"kirrelL","pks2","Lv",0.0606428138265615,12
"kirrelL","tbr","Lv",39,16
"kirrelL","tbr","Lv",0,20
"kirrelL","tbr","Lv",0,24
"kirrelL","tbr","Lv",0.593854892847922,6
"kirrelL","tbr","Lv",0.805008944543828,9
"kirrelL","tbr","Lv",0.603400987383434,12
"kirrelL","tbr","Lv",0.121285627653123,16
"kirrelL","wnt1","Lv",40,20
"kirrelL","wnt1","Lv",0,24
"kirrelL","wnt1","Lv",0,6
"kirrelL","wnt1","Lv",0.0774593338497289,9
"kirrelL","wnt1","Lv",0.0894454382826475,12
"kirrelL","wnt1","Lv",0,16
"kirrelL","wnt1","Lv",0.0606428138265615,20
"ets1","kirrelL","Lv",41,24
"ets1","kirrelL","Lv",0,6
"ets1","kirrelL","Lv",0,9
"ets1","kirrelL","Lv",0.335657113348825,12
"ets1","kirrelL","Lv",0.0894454382826475,16
"ets1","kirrelL","Lv",0.219418540866703,20
"ets1","kirrelL","Lv",0.121285627653123,24
"erg","kirrelL","Lv",42,6
"erg","kirrelL","Lv",0,9
"erg","kirrelL","Lv",0,12
"erg","kirrelL","Lv",0,16
"erg","kirrelL","Lv",0,20
"erg","kirrelL","Lv",0,24
"erg","kirrelL","Lv",0,6
"kirrelL","sm37","Lv",43,9
"kirrelL","sm37","Lv",0,12
"kirrelL","sm37","Lv",0,16
"kirrelL","sm37","Lv",0.67131422669765,20
"kirrelL","sm37","Lv",0.805008944543828,24
"kirrelL","sm37","Lv",0.603400987383434,6
"kirrelL","sm37","Lv",0.181928441479685,9
"kirrelL","sm50","Lv",44,12
"kirrelL","sm50","Lv",0,16
"kirrelL","sm50","Lv",0,20
"kirrelL","sm50","Lv",0.619674670797831,24
"kirrelL","sm50","Lv",0.626118067978533,6
"kirrelL","sm50","Lv",0.383982446516731,9
"kirrelL","sm50","Lv",0,12
"fgf","foxB","Lv",45,16
"fgf","foxB","Lv",0.0548446069469835,20
"fgf","foxB","Lv",0.0841219768664563,24
"fgf","foxB","Lv",4.51846114123419,6
"fgf","foxB","Lv",1.07334525939177,9
"fgf","foxB","Lv",0.383982446516731,12
"fgf","foxB","Lv",0.181928441479685,16
"foxB","vegfr","Lv",46,20
"foxB","vegfr","Lv",0,24
"foxB","vegfr","Lv",0.0630914826498422,6
"foxB","vegfr","Lv",3.95042602633617,9
"foxB","vegfr","Lv",1.34168157423971,12
"foxB","vegfr","Lv",0.603400987383434,16
"foxB","vegfr","Lv",0.0606428138265615,20
"foxB","pks2","Lv",47,24
"foxB","pks2","Lv",0,6
"foxB","pks2","Lv",0.0630914826498422,9
"foxB","pks2","Lv",3.71804802478699,12
"foxB","pks2","Lv",1.25223613595707,16
"foxB","pks2","Lv",0.383982446516731,20
"foxB","pks2","Lv",0,24
"foxB","tbr","Lv",48,6
"foxB","tbr","Lv",0.237659963436929,9
"foxB","tbr","Lv",0.0841219768664563,12
"foxB","tbr","Lv",3.71804802478699,16
"foxB","tbr","Lv",1.43112701252236,20
"foxB","tbr","Lv",0.603400987383434,24
"foxB","tbr","Lv",0,6
"foxB","wnt1","Lv",49,9
"foxB","wnt1","Lv",0.146252285191956,12
"foxB","wnt1","Lv",0.0420609884332281,16
"foxB","wnt1","Lv",0.619674670797831,20
"foxB","wnt1","Lv",0.35778175313059,24
"foxB","wnt1","Lv",0,6
"foxB","wnt1","Lv",0.424499696785931,9
"ets1","foxB","Lv",50,12
"ets1","foxB","Lv",0.237659963436929,16
"ets1","foxB","Lv",0.10515247108307,20
"ets1","foxB","Lv",2.09140201394268,24
"ets1","foxB","Lv",0.626118067978533,6
"ets1","foxB","Lv",0.164563905650027,9
"ets1","foxB","Lv",0.121285627653123,12
"erg","foxB","Lv",51,16
"erg","foxB","Lv",0,20
"erg","foxB","Lv",0,24
"erg","foxB","Lv",0,6
"erg","foxB","Lv",0,9
"erg","foxB","Lv",0,12
"erg","foxB","Lv",0,16
"foxB","sm37","Lv",52,20
"foxB","sm37","Lv",0,24
"foxB","sm37","Lv",0.021030494216614,6
"foxB","sm37","Lv",4.13116447198554,9
"foxB","sm37","Lv",1.52057245080501,12
"foxB","sm37","Lv",0.493691716950082,16
"foxB","sm37","Lv",0.0606428138265615,20
"foxB","sm50","Lv",53,24
"foxB","sm50","Lv",0,6
"foxB","sm50","Lv",0.0420609884332281,9
"foxB","sm50","Lv",3.09837335398916,12
"foxB","sm50","Lv",1.34168157423971,16
"foxB","sm50","Lv",0.274273176083379,20
"foxB","sm50","Lv",0,24
"foxB","kirrelL","Lv",54,6
"foxB","kirrelL","Lv",0,9
"foxB","kirrelL","Lv",0,12
"foxB","kirrelL","Lv",0.645494448747741,16
"foxB","kirrelL","Lv",0.35778175313059,20
"foxB","kirrelL","Lv",0.0548546352166758,24
"foxB","kirrelL","Lv",0.0606428138265615,6
"dri","fgf","Lv",55,9
"dri","fgf","Lv",3.14442413162706,12
"dri","fgf","Lv",5.36277602523659,16
"dri","fgf","Lv",5.3705138135812,20
"dri","fgf","Lv",7.5134168157424,24
"dri","fgf","Lv",11.1354909489852,6
"dri","fgf","Lv",7.82292298362644,9
"dri","vegfr","Lv",56,12
"dri","vegfr","Lv",0.127970749542962,16
"dri","vegfr","Lv",4.39537329127235,20
"dri","vegfr","Lv",1.98812290214304,24
"dri","vegfr","Lv",1.61001788908766,6
"dri","vegfr","Lv",1.26165660998354,9
"dri","vegfr","Lv",0.606428138265616,12
"dri","pks2","Lv",57,16
"dri","pks2","Lv",0.036563071297989,20
"dri","pks2","Lv",4.50052576235541,24
