"species","type","G1","G2","value"
"LV","coEXP","Sm37","Sm50","UMAPS/plot_LVA19591t1Sm37_and_LVA19593t1Sm50.png"
"LV","coEXP","Sm37","Lim1","UMAPS/plot_LVA19591t1Sm37_and_LVA26747t1Lim1.png"
"LV","coEXP","Sm37","Msp1301","UMAPS/plot_LVA19591t1Sm37_and_LVA28884t1Msp1301.png"
"LV","coEXP","Sm50","Vegfr10","UMAPS/plot_LVA19593t1Sm50_and_LVA10634t1Vegfr10.png"
"LV","coEXP","Sm50","p58b","UMAPS/plot_LVA19593t1Sm50_and_LVA13091t1p58b.png"
"LV","coEXP","Sm50","Lim1","UMAPS/plot_LVA19593t1Sm50_and_LVA26747t1Lim1.png"
"LV","coEXP","Sm50","Msp1301","UMAPS/plot_LVA19593t1Sm50_and_LVA28884t1Msp1301.png"
"LV","coEXP","FoxB","Vegfr10","UMAPS/plot_LVA21108t1FoxB_and_LVA10634t1Vegfr10.png"
"LV","coEXP","FoxB","p58b","UMAPS/plot_LVA21108t1FoxB_and_LVA13091t1p58b.png"
"LV","coEXP","FoxB","Sm29","UMAPS/plot_LVA21108t1FoxB_and_LVA18972t1Sm29.png"
"LV","coEXP","FoxB","Sm37","UMAPS/plot_LVA21108t1FoxB_and_LVA19591t1Sm37.png"
"LV","coEXP","FoxB","Sm50","UMAPS/plot_LVA21108t1FoxB_and_LVA19593t1Sm50.png"
"LV","coEXP","FoxB","Lim1","UMAPS/plot_LVA21108t1FoxB_and_LVA26747t1Lim1.png"
"LV","coEXP","FoxB","Msp1301","UMAPS/plot_LVA21108t1FoxB_and_LVA28884t1Msp1301.png"
"LV","coEXP","FoxB","FoxO1","UMAPS/plot_LVA21108t1FoxB_and_LVA35307t1FoxO1.png"
"LV","coEXP","Dr1","Vegfr10","UMAPS/plot_LVA21497t1Dr1_and_LVA10634t1Vegfr10.png"
"LV","coEXP","Dr1","p58b","UMAPS/plot_LVA21497t1Dr1_and_LVA13091t1p58b.png"
"LV","coEXP","Dr1","Erg","UMAPS/plot_LVA21497t1Dr1_and_LVA13883t1Erg.png"
"LV","coEXP","Dr1","Sm29","UMAPS/plot_LVA21497t1Dr1_and_LVA18972t1Sm29.png"
"LV","coEXP","Dr1","Sm37","UMAPS/plot_LVA21497t1Dr1_and_LVA19591t1Sm37.png"
"LV","coEXP","Dr1","Sm50","UMAPS/plot_LVA21497t1Dr1_and_LVA19593t1Sm50.png"
"LV","coEXP","Dr1","FoxB","UMAPS/plot_LVA21497t1Dr1_and_LVA21108t1FoxB.png"
"LV","coEXP","Dr1","Lim1","UMAPS/plot_LVA21497t1Dr1_and_LVA26747t1Lim1.png"
"LV","coEXP","Dr1","Msp1301","UMAPS/plot_LVA21497t1Dr1_and_LVA28884t1Msp1301.png"
"LV","coEXP","Dr1","FoxO1","UMAPS/plot_LVA21497t1Dr1_and_LVA35307t1FoxO1.png"
"LV","coEXP","Lim1","Vegfr10","UMAPS/plot_LVA26747t1Lim1_and_LVA10634t1Vegfr10.png"
